56.25,65.625,59.375,68.75
59.375,65.625,62.5,68.75
56.25,62.5,59.375,65.625
59.375,62.5,62.5,65.625
62.5,71.875,65.625,75
65.625,71.875,68.75,75
62.5,68.75,65.625,71.875
65.625,68.75,68.75,71.875
68.75,68.75,75,75
62.5,65.625,65.625,68.75
65.625,65.625,68.75,68.75
62.5,62.5,65.625,65.625
65.625,62.5,68.75,65.625
68.75,62.5,75,68.75
50,59.375,53.125,62.5
53.125,59.375,56.25,62.5
50,56.25,53.125,59.375
53.125,56.25,56.25,59.375
56.25,56.25,62.5,62.5
50,53.125,53.125,56.25
53.125,53.125,56.25,56.25
50,50,53.125,53.125
53.125,50,56.25,53.125
56.25,53.125,59.375,56.25
59.375,53.125,62.5,56.25
56.25,50,59.375,53.125
59.375,50,62.5,53.125
62.5,56.25,68.75,62.5
68.75,59.375,71.875,62.5
71.875,59.375,75,62.5
68.75,56.25,71.875,59.375
71.875,56.25,75,59.375
62.5,53.125,65.625,56.25
65.625,53.125,68.75,56.25
62.5,50,65.625,53.125
65.625,50,68.75,53.125
68.75,53.125,71.875,56.25
71.875,53.125,75,56.25
68.75,50,71.875,53.125
71.875,50,75,53.125
75,68.75,81.25,75
81.25,68.75,87.5,75
75,65.625,78.125,68.75
78.125,65.625,81.25,68.75
75,62.5,78.125,65.625
78.125,62.5,81.25,65.625
81.25,65.625,84.375,68.75
84.375,65.625,87.5,68.75
81.25,62.5,84.375,65.625
84.375,62.5,87.5,65.625
87.5,71.875,90.625,75
90.625,71.875,93.75,75
87.5,68.75,90.625,71.875
90.625,68.75,93.75,71.875
93.75,71.875,96.875,75
96.875,71.875,100,75
93.75,68.75,96.875,71.875
96.875,68.75,100,71.875
87.5,62.5,93.75,68.75
93.75,65.625,96.875,68.75
96.875,65.625,100,68.75
93.75,62.5,96.875,65.625
96.875,62.5,100,65.625
75,56.25,81.25,62.5
81.25,56.25,87.5,62.5
75,50,81.25,56.25
81.25,53.125,84.375,56.25
84.375,53.125,87.5,56.25
81.25,50,84.375,53.125
84.375,50,87.5,53.125
87.5,59.375,90.625,62.5
90.625,59.375,93.75,62.5
87.5,56.25,90.625,59.375
90.625,56.25,93.75,59.375
93.75,56.25,100,62.5
87.5,50,93.75,56.25
93.75,53.125,96.875,56.25
96.875,53.125,100,56.25
93.75,50,96.875,53.125
96.875,50,100,53.125
0,43.75,6.25,50
6.25,43.75,12.5,50
0,40.625,3.125,43.75
3.125,40.625,6.25,43.75
0,37.5,3.125,40.625
3.125,37.5,6.25,40.625
6.25,37.5,12.5,43.75
12.5,46.875,15.625,50
15.625,46.875,18.75,50
12.5,43.75,15.625,46.875
15.625,43.75,18.75,46.875
18.75,43.75,25,50
12.5,40.625,15.625,43.75
15.625,40.625,18.75,43.75
12.5,37.5,15.625,40.625
15.625,37.5,18.75,40.625
18.75,37.5,25,43.75
0,34.375,3.125,37.5
3.125,34.375,6.25,37.5
0,31.25,3.125,34.375
3.125,31.25,6.25,34.375
6.25,34.375,9.375,37.5
9.375,34.375,12.5,37.5
